Code,Name,area_km2,area_km2_source,area_km2_source_url,population,population_date,population_source,population_source_url
US_OR,Oregon,248608,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,3930065,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_PA,Pennsylvania,115883,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,12773801,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_RI,Rhode Island,2678,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,1051511,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_SC,South Carolina,77857,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,4774839,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_SD,South Dakota,196350,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,844877,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_TN,Tennessee,106798,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,6495978,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_TX,Texas,676587,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,26448193,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_UT,Utah,212818,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,2900872,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_VA,Virginia,102279,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,8260405,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_VT,Vermont,23871,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,626630,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_WA,Washington,172119,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,6971406,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_WI,Wisconsin,140268,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,5742713,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_WV,West Virginia,62259,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,1854304,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
US_WY,Wyoming,251470,US Census,http://www.census.gov/prod/cen2010/cph-2-1.pdf,582658,July 2013,US Census,http://www.census.gov/popest/data/state/totals/2013/index.html
,,,,,,,,
Australian States,,,,,,,,
AU_CT,Australian Capital Territory,"2,358",ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/,"382,900",Sep 2014,ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/
AU_JB,Jervis Bay Territory,73,ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/,611,Sep 2014,ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/
AU_NS,New South Wales,"800,642",ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/,"7,439,200",Sep 2014,ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/
AU_NT,Northern Territory,"1,349,129",ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/,"241,800",Sep 2014,ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/
AU_QL,Queensland,"1,730,648",ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/,"4,676,400",Sep 2014,ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/
AU_SA,South Australia,"983,482",ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/,"1,674,700",Sep 2014,ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/
AU_TS,Tasmania,"68,401",ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/,"513,400",Sep 2014,ABS,http://www.abs.gov.au/ausstats/abs@.nsf/mf/3101.0/
